Date,Open,High,Low,Close,Volume
2014-04-11,39.775,40.69,39.775,40.69,821720
2014-04-14,40.013,40.542,39.591,40.505,740528
2014-04-15,40.232,40.369,39.428,39.455,951041
2014-04-16,39.939,40.241,39.335,39.335,791145
2014-04-17,39.335,39.821,39.335,39.821,278487
2014-04-22,39.591,40.478,39.418,40.313,380360
2014-04-23,40.369,41.128,40.095,41.008,993847
2014-04-24,40.69,42.234,40.68,41.695,1709722
2014-04-25,41.557,41.914,41.238,41.238,540788
2014-04-28,41.228,41.914,41.228,41.567,328049
2014-04-29,41.923,42.334,41.896,42.061,632129
2014-04-30,41.996,42.234,41.42,41.42,740672
2014-05-02,41.238,41.476,41.018,41.375,289848
2014-05-05,41.256,41.311,40.406,40.588,410439
2014-05-06,40.964,40.964,39.985,40.46,430021
2014-05-07,40.122,40.369,39.628,39.775,961220
2014-05-08,39.948,40.313,39.554,39.775,793106
2014-05-09,39.958,40.086,39.152,39.152,504475
2014-05-12,39.317,40.46,39.308,40.46,400735
2014-05-13,40.532,40.652,40.259,40.451,379066
2014-05-14,40.597,41.109,40.469,40.771,697321
2014-05-15,40.762,41.054,39.683,39.775,511174
2014-05-16,40.185,40.634,39.775,40.423,308292
2014-05-19,40.588,40.771,39.848,40.505,271133
2014-05-20,40.414,40.835,40.059,40.35,304156
2014-05-21,40.488,40.488,39.428,39.546,404549
2014-05-22,39.911,41.037,39.619,40.862,655889
2014-05-23,40.826,41.328,40.369,40.808,632863
2014-05-26,41.238,41.859,41.018,41.173,553528
2014-05-27,40.972,41.091,40.341,40.442,459299
2014-05-28,40.442,40.725,39.894,39.976,442215
2014-05-29,40.04,40.04,38.888,39.135,1117901
2014-05-30,39.135,39.482,38.567,38.567,1447920
2014-06-02,38.669,39.19,38.43,38.741,636266
2014-06-03,38.86,39.043,38.009,38.266,1150311
2014-06-04,38.266,38.723,38.055,38.375,1107797
2014-06-05,38.494,39.574,38.449,39.244,735621
2014-06-06,39.317,39.509,39.052,39.317,629042
2014-06-09,39.5,39.702,39.043,39.043,575141
2014-06-10,39.308,39.418,39.043,39.244,615973
2014-06-11,39.253,39.317,38.696,39.317,732818
2014-06-12,39.525,39.525,38.532,38.788,696244
2014-06-13,38.797,38.826,38.599,38.627,459678
2014-06-16,38.627,38.627,38.126,38.324,509780
2014-06-17,38.333,39.156,38.333,38.977,852758
2014-06-18,39.052,39.497,38.995,39.355,627463
2014-06-20,39.516,39.516,38.929,38.929,1289295
2014-06-23,38.929,39.734,38.788,39.412,451376
2014-06-24,39.734,39.923,39.497,39.913,383718
2014-06-25,39.677,39.923,39.072,39.686,875970
2014-06-26,39.781,39.79,38.551,38.674,616684
2014-06-27,38.712,39.374,38.456,38.74,368439
2014-06-30,38.977,39.11,38.362,38.788,395956
2014-07-01,38.788,38.92,38.456,38.674,163634
2014-07-02,38.788,39.204,37.614,37.747,811532
2014-07-03,37.993,38.069,36.999,37.747,886644
2014-07-04,38.031,38.134,37.785,38.031,341830
2014-07-07,38.116,38.788,38.116,38.788,266124
2014-07-08,38.873,39.62,38.873,39.46,517801
2014-07-09,39.45,39.649,38.484,39.09,550905
2014-07-10,39.213,39.336,38.078,38.4,1294450
2014-07-11,38.164,39.819,38.164,39.535,671368
2014-07-14,39.45,39.903,39.422,39.734,655018
2014-07-15,39.923,40.178,39.743,39.875,474765
2014-07-16,39.923,41.02,39.772,40.537,1310614
2014-07-17,40.33,40.727,39.941,40.386,749160
2014-07-18,40.131,40.604,39.781,40.386,457119
2014-07-21,40.414,40.462,39.554,40.462,261937
2014-07-22,40.462,40.755,39.998,40.755,511655
2014-07-23,39.45,39.923,38.277,38.39,3069438
2014-07-24,38.409,38.504,37.454,37.794,1175568
2014-07-25,37.936,38.031,36.262,36.782,1511026
2014-07-28,36.904,37.596,36.498,36.498,804883
2014-07-29,36.867,37.369,36.555,37.085,1045004
2014-07-30,37.17,37.331,35.855,36.375,928540
2014-07-31,36.053,36.592,35.004,35.004,1156478
2014-08-01,35.004,35.334,34.209,34.89,1695598
2014-08-04,35.268,36.111,35.004,35.004,1577891
2014-08-05,35.485,35.817,35.24,35.656,763002
2014-08-06,35.571,36.272,35.439,36.272,747021
2014-08-07,36.233,36.546,35.202,35.666,829875
2014-08-08,35.107,35.732,35.022,35.477,803512
2014-08-11,35.95,36.517,35.94,36.517,1531965
2014-08-12,36.564,37.028,36.139,36.621,845382
2014-08-13,36.621,37.132,36.309,36.896,1404201
2014-08-14,36.876,37.255,36.423,36.886,1030827
2014-08-18,37.226,37.53,36.423,37.132,648514
2014-08-19,37.179,37.331,36.461,36.99,634177
2014-08-20,36.896,37.52,36.791,37.463,586927
2014-08-21,37.51,37.633,37.283,37.444,304949
2014-08-22,37.463,37.548,37.141,37.226,471308
2014-08-25,37.255,37.842,37.255,37.719,310340
2014-08-26,37.52,38.504,37.52,38.504,1033304
2014-08-27,38.551,38.892,38.134,38.693,885082
2014-08-28,38.655,38.712,37.019,37.567,1034201
2014-08-29,37.415,37.737,36.876,37.302,1029104
2014-09-01,37.302,37.888,37.302,37.888,257625
2014-09-02,37.936,38.315,37.691,37.804,410068
2014-09-03,38.106,39.261,37.983,39.138,1187917
2014-09-04,38.788,38.967,38.087,38.172,890680
2014-09-05,38.21,38.617,37.955,38.513,618955
2014-09-08,38.778,39.289,38.579,39.213,1181626
2014-09-09,39.166,39.166,38.806,39.156,545618
2014-09-10,38.844,39.241,38.844,39.194,995144
2014-09-11,38.977,39.308,38.438,38.456,1190737
2014-09-12,38.447,39.289,38.333,38.484,434186
2014-09-15,38.324,38.683,38.248,38.248,398336
2014-09-16,38.315,39.213,37.945,39.005,800092
2014-09-17,39.072,39.422,38.901,39.052,440483
